OID_,Id,gridcode,Shape_Length,Shape_Area,area
156,136616,20,8.864818707362161,2.070555501807451,22
157,136745,40,20.000000000000000,25.000000000000000,269
158,136746,30,36.180339887498945,75.000000000000000,807
159,136747,20,20.000000000000000,25.000000000000000,269
160,136748,20,18.748986062057647,16.009499998763204,172
161,136749,70,10.646759564739151,5.260907448609230,57
162,136849,30,20.000000000000000,25.000000000000000,269
163,136850,20,54.424202914574494,154.973717058613346,1668
164,136851,20,18.748986063792756,16.009500001091510,172
165,136946,20,66.180339887498945,175.000000000000000,1884
166,136947,20,20.000000000000000,25.000000000000000,269
167,137141,40,20.000000000000000,25.000000000000000,269
168,137230,30,30.000000000000000,50.000000000000000,538
169,137231,20,18.864778369438554,17.117382239529391,184
170,137232,70,31.699992590784966,57.693963393195268,621
171,137410,30,24.057594019860431,20.123000000603497,217
172,137492,30,30.000000000000000,50.000000000000000,538
173,137493,40,18.864778369528310,17.117426411151307,184
174,137494,70,30.000000000000000,50.000000000000000,538
175,137495,30,0.209885672412021,0.002028760006318,0
176,137586,30,20.000000000000000,25.000000000000000,269
177,137587,30,20.000000000000000,25.000000000000000,269
178,137674,30,11.582913748161239,8.095283125019520,87
179,137675,20,103.887163747091719,662.488466433481790,7131
180,137676,30,20.000000000000000,25.000000000000000,269
181,137677,20,20.000000000000000,25.000000000000000,269
182,137678,20,91.060904762855472,275.942889995993710,2970
183,137837,70,453.965776226518244,2623.810807969299276,28242
184,137840,30,0.375065465749231,0.006628049971756,0
185,137841,30,18.748986063792756,16.009500001091510,172
186,138032,30,50.023684443125703,131.578292590268632,1416
187,138036,30,26.589203872820988,6.454255991681726,69
188,138224,70,85.528967925898598,359.768194493060776,3872
189,138225,30,11.319762394908073,5.451137999588892,59
190,138320,30,18.864778369438554,17.117382239529391,184
191,138421,30,19.078377301436809,12.530615552970428,135
192,138529,30,19.166115819357287,23.736974875353443,256
193,138531,70,18.864778369438554,17.117382239529391,184
194,138638,20,29.304726756731139,37.823518241018455,407
195,138639,30,28.776278707011496,29.055749999824911,313
196,138828,30,28.295437062885888,34.138494269237626,367
197,138932,30,4.157489481924452,0.829360259371051,9
198,139148,70,120.026694107077446,802.161243259820935,8634
199,139149,30,10.319209134348558,4.786618767651182,52
200,139237,30,18.864778369438554,17.117382239529391,184
201,139334,30,28.369189083747806,33.746382493761779,363
202,139335,70,18.864778369438554,17.117382239529391,184
203,139504,30,11.853882435664548,6.502555799267274,70
204,139585,20,17.081797700778957,14.257686339846734,153
205,139586,30,18.864778369438554,17.117382239529391,184
206,139587,30,18.029145469741639,14.194062358776121,153
207,139683,70,13.247626253978954,2.761353113836486,30
208,139776,70,580.929793605105488,3654.384138418936345,39335
209,139777,70,73.406696790377907,245.339783245030844,2641
210,139779,40,48.445533638225200,126.023051598127680,1356
