"","-(stores_empty$stores_remain[i + ((j - 1) * nrow(bmp))] - incoming_runoff_test + outflow)"
"1394",-497.724128935412
"1395",-61.3893175297743
"1396",-555.384747286874
"1397",-322.478485352385
"1398",-67561.0050947364
"1399",-252.953156179972
"1400",360.613382688312
"1401",-994.49538483597
"1402",-112.417912611968
"1403",-114.495356456852
"1404",-109.843522825638
"1405",-113.888796342315
"1406",-113.931824983365
"1407",-112.071143654572
"1408",-113.931817352405
"1409",-113.931771571233
"1410",-32.773126890174
"1411",-113.931758421228
"1412",-111.677434709594
"1413",-114.495340331153
"1414",-113.888703457824
"1415",-113.888695717514
"1416",-21629.9218218066
"1417",-110.556907851067
"1418",-113.88864153356
"1419",-114.49532872015
"1420",-110.951439712417
"1421",-113.931658447941
"1422",-110.23716844611
"1423",-92.14602217185
"1424",-97.5265439801352
"1425",-113.888610569338
"1426",-2734.49539319575
"1427",-52934.3252618193
"1428",-17432.691586338
"1429",-3969.22867833488
"1430",-114.495334525766
"1431",-113.931704234934
"1432",-108.833077735879
"1433",-108.833077735879
"1434",-114.495331944696
"1435",-113.931688965835
"1436",-110.556907851067
"1437",-4180.99076789217
"1438",-114.495323559111
"1439",-6544.49537645149
"1440",-46215.924676078
"1441",-80449.495360326
"1442",-20915.4953833053
"1443",-114.495321623841
"1444",-113.888602828767
"1445",-114.495322914844
"1446",-43576.5021791233
"1447",-1205.83705214745
"1448",-13121.0542067365
"1449",-15972.7425754535
"1450",-13820.2490775372
"1451",-2354.45176341209
"1452",-5536.61726810562
"1453",-2766.15925501993
"1454",-480.800068511582
"1455",-34175.662877931
"1456",-32823.3723067924
"1457",-19301.2576834335
"1458",-3600.47038096664
"1459",-88.3020165165431
"1460",-114.208163383455
"1461",-114.251186060236
"1462",-92.0279558994166
"1463",-4322.76393995316
"1464",-623.934938129726
"1465",-576.092606412525
"1466",-334.014249418614
"1467",-108800.379596201
"1468",-30091.0463842779
"1469",-2256.24355087748
"1470",-1880.29712555288
"1471",-113.860061674123
"1472",-315.401975945392
"1473",-190.211398428376
"1474",-5742.4609804515
"1475",-6938.22310001856
"1476",-684.378555363218
"1477",-575.997759291881
"1478",-781.160242144496
"1479",-499.1130178243
"1480",-62.1893175297743
"1481",-556.931969509096
"1482",-323.378485352385
"1483",-67748.6773169587
"1484",-254.053156179972
"1485",357.202271577201
"1486",-997.259273724859
"1487",-112.737357056412
"1488",-114.814800901296
"1489",-110.162967270083
"1490",-114.208240786759
"1491",-114.251269427809
"1492",-112.390588099017
"1493",-114.25126179685
"1494",-114.251216015677
"1495",-33.0925713346185
"1496",-114.251202865672
"1497",-111.996879154039
"1498",-114.814784775598
"1499",-114.208147902269
"1500",-114.208140161958
"1501",-21690.0440440288
"1502",-110.876352295511
"1503",-114.208085978004
"1504",-114.814773164594
"1505",-111.270884156861
"1506",-114.251102892385
"1507",-110.556612890555
"1508",-92.4654666162944
"1509",-97.8459884245797
"1510",-114.208055013782
"1511",-2742.09261541798
"1512",-53081.541928486
"1513",-17455.7934917423
"1514",-3974.35770759311
"1515",-114.814778970211
"1516",-114.251148679379
"1517",-109.152522180324
"1518",-109.152522180324
"1519",-114.81477638914
"1520",-114.25113341028
"1521",-110.876352295511
"1522",-4192.60743455884
"1523",-114.814768003555
"1524",-6562.67593200705
"1525",-46344.4385649669
"1526",-80672.9675825482
"1527",-20973.5953833053
"1528",-114.814766068286
"1529",-114.208047273211
"1530",-114.814767359288
"1531",-43576.5021791233
"1532",-1205.83705214745
"1533",-13121.0542067365
"1534",-15972.7425754535
"1535",-13820.2490775372
"1536",-2354.45176341209
"1537",-5552.40893477229
"1538",-2766.15925501993
"1539",-483.144512956026
"1540",-34175.662877931
"1541",-32914.7528623479
"1542",-19301.2576834335
"1543",-3600.47038096664
"1544",-88.6214609609875
"1545",-114.5276078279
"1546",-114.57063050468
"1547",-92.347400343861
"1548",-4334.77227328649
"1549",-625.673827018615
"1550",-576.092606412525
"1551",-334.972582751947
"1552",-108800.379596201
