"","site","year","storage","treated_20","treated_30","treated_70","treated_40","total_basin_area","total_basin_20","total_basin_30","total_basin_40","total_basin_70","percent_20_treated","untreated_20","percent_30_treated","untreated_30","percent_40_treated","untreated_40","untreated_70","percent_70_treated"
"27","tr104","2016",0,1873930.77937992,125092.786133704,488615.985509309,10477.363289582,12447556.8145633,5760120.71254285,428194.892911455,2134995.81862066,4124245.39048832,32.5328386833869,3886189.93316293,29.2139836799901,-1445735.88646847,0.490743972339533,261065.039240737,2250314.6111084,11.8474033246469
"28","tr104","2015",0,1935187.36146645,146375.233464003,384005.599481868,32548.7198989644,12447556.8145653,5948502.71692841,829072.896697224,2606510.06347594,3063471.13746375,32.5323439116745,4013315.35546196,17.6552911145833,-1106114.46476923,1.24874714105491,671322.702009488,1128283.7759973,12.5349834305861
"29","tr104","2014",0,1222622.95538309,779476.607967874,418724.455261439,76085.2422155403,12447556.8145709,3780746.75435346,2416978.93328936,3540220.99139843,2709610.1355296,32.3381340994412,2558123.79897037,32.2500373185733,1194355.97790627,2.14916646165317,2317598.03601534,1486987.18014651,15.4533100452696
"30","tr104","2013",0,2012059.54925479,25467.3348001992,410858.37831785,15993.2472652301,12447556.8145621,6351974.36398898,109980.43031283,2324775.63019236,3660826.39006789,31.6761283021179,4339914.81473419,23.1562421857775,-1902079.11894196,0.687947991949089,312716.080937571,1648766.8408131,11.2231046911304
"31","tr104","2012",0,1902887.12626841,13018.7091083423,536135.852362514,10471.1228888379,12447556.8145537,5815840.28844528,206521.117927247,2347873.14221371,4077322.26596747,32.7190402743522,3912953.16217687,6.3038149507444,-1696366.00834117,0.445983332769213,444986.015945297,2174435.13969906,13.1492145430231
"32","tr104","2011",0,1028279.72713319,647265.730242469,195460.257604446,39.5717637035996,12447556.8145583,3612903.3474791,3375447.86077675,2677871.10226095,2781334.50404153,28.4613129175092,2584623.62034591,19.1756992535361,2347168.13364356,0.00147773220563861,1649591.37512776,1753054.77690834,7.02757102104852
"33","tr104","2010",0,1615042.75550285,15127.3273862152,239677.86960803,1197.33424588418,12447556.8145646,6316280.14070567,245147.182916724,2813527.07662075,3072602.41432145,25.5695238261299,4701237.38520282,6.17071230688133,-1369895.57258612,0.0425563434535084,1198484.3211179,1457559.6588186,7.80048432204857
"34","tr109","2019",0,3079015.6850369,72925.3524645769,395582.594439424,88775.6315237804,9321767.87623893,5998039.70824111,174759.415384677,1389300.92421897,1759667.82839417,51.3336995886578,2919024.02320421,41.7289977218424,-2904256.26965222,6.38994979246039,-1689714.76081793,-1319347.85664273,22.4805266116857
"35","tr109","2018",0,3180528.72428814,164544.902680497,150965.297756043,86848.492216181,9321767.87622815,6697906.33903143,482655.159693315,1251301.09677251,889905.280730895,47.4854165361182,3517377.61474329,34.0916075122974,-2697873.56459482,6.9406550062323,-1929227.62751563,-2290623.44355724,16.964198440541
"36","tr109","2017",0,2017410.77816408,411745.878288306,369462.098219142,60362.7801931186,9321767.87623852,5087759.83450413,1304019.34294331,1136990.54879848,1792998.14999259,39.6522407461614,3070349.05634005,31.5751357920008,-713391.435220771,5.30899577458293,-880420.229365601,-224412.628171491,20.6058270735343
"37","tr109","2016",0,1767047.96147519,659907.091931545,393161.578900683,38864.9025566688,9321767.87623454,4415352.82541084,1892158.26863005,716896.503808515,2297360.27838513,40.0205381392317,2648304.86393565,34.8758929351786,125110.307154859,5.42127104124499,-1050151.45766668,530312.316909939,17.1136230829692
"38","tr109","2015",0,1326217.74965811,500624.680007878,200571.59513376,38180.0028396087,9321767.87623669,5148931.34071646,1584451.99651306,874272.09950836,1714112.43949881,25.7571457434421,3822713.59105835,31.5960774519906,258234.246854954,4.36706179472946,-451945.650149746,387894.689840704,11.7011924370846
"39","tr109","2014",0,361600.486839153,267585.217616459,105388.668175138,16150.7769364724,9321767.87624423,3819888.72092953,2767018.81302696,590037.392998835,2144822.94928891,9.46625708905891,3458288.23409038,9.67052397174476,2405418.32618781,2.73724633864082,228436.906159682,1783222.46244976,4.91363020010944
"40","tr109","2013",0,4546.86286412967,725.853873953223,6287.31038934134,NA,9321767.87623774,3659507.03089268,2624773.02420705,948073.629259651,2089414.19187836,0.124247960879598,3654960.16802855,0.0276539673053256,2620226.16134292,NA,943526.766395521,2084867.32901423,0.300912591375151
"41","tr109","2012",0,4087.2212011682,374.137786736712,7098.66813950316,NA,9321767.87622855,2599816.89429661,3773126.92558833,820160.771287835,2128663.28505577,0.157211887119228,2595729.67309544,0.00991585478345322,3769039.70438716,NA,816073.550086667,2124576.0638546,0.333480085335205
"42","tr109","2011",0,1235.73818287719,8196.06977259554,2128.21917194128,NA,9321767.8762293,1982913.86110948,4447979.86794781,1551356.63967703,1339517.50749497,0.0623193073140237,1981678.1229266,0.184264992556655,4446744.12976493,NA,1550120.90149415,1338281.76931209,0.158879533864493
"43","tr109","2010",0,2608.11059289015,NA,8951.91653452981,NA,9321767.87623178,1979669.84503461,1466128.46059652,2764732.75231564,3111236.81828502,0.131744724981885,1977061.73444172,NA,1463520.35000363,NA,2762124.64172275,3108628.70769213,0.287728548399742
