"","-(stores_empty$stores_remain[i + ((j - 1) * nrow(bmp))] - incoming_runoff_test + outflow)"
"593",-105.309064015017
"594",-93.7015105761014
"595",-105.309093708073
"596",-41514.6872127604
"597",-1201.80013599375
"598",-13069.9649307037
"599",-15970.2193416096
"600",-13773.5121270794
"601",-2291.61251538095
"602",-3551.53021247094
"603",-2763.63608567512
"604",2429.55125808481
"605",-34170.6161564747
"606",-29246.4494210459
"607",-19280.1572117124
"608",-3597.94728579987
"609",133.526042041812
"610",-90.9938974714258
"611",-91.3667606701929
"612",101.234567390242
"613",-4088.70410544884
"614",-539.269502483981
"615",-573.060544503432
"616",-198.359606072431
"617",-108795.33313276
"618",-29255.6532134489
"619",-2248.16973567506
"620",640.801763726854
"621",1264.1461321576
"622",-115.210643378579
"623",453.935472879998
"624",-4999.98549173895
"625",-6427.31171159365
"626",-657.742439443668
"627",963.613863914814
"628",-768.999629090242
"629",-450.549574542923
"630",1711.95924807529
"631",-525.833985014268
"632",-290.740619161998
"633",-67743.7027906408
"634",893.239313106909
"635",12693.4826499654
"636",-994.73619790471
"637",-78.246909303719
"638",-104.115378989252
"639",-55.9355311555333
"640",-90.994568300062
"641",-91.3674831891598
"642",-75.241578339628
"643",-91.3674170541805
"644",-91.3670202840161
"645",612.007900285158
"646",-91.366906317309
"647",-71.8294341498164
"648",-104.114959721098
"649",-90.9937633011423
"650",-90.9936962184522
"651",-21637.5408407036
"652",-62.1182013759105
"653",-90.993226624185
"654",-104.114657835008
"655",-65.537477507614
"656",-91.3660398821512
"657",-59.3471265329555
"658",97.4428078439666
"659",50.8116188388277
"660",-90.9929582675961
"661",-2739.56958139675
"662",-52372.9734739682
"663",-15026.1752297444
"664",-3422.82261964308
"665",-104.114808781039
"666",-91.3664367027622
"667",-47.1783403776193
"668",-47.1783403776193
"669",-104.114741673207
"670",-91.3663043705726
"671",-62.1182013759105
"672",-4187.56127401969
"673",-104.114523647997
"674",-6560.15281426452
"675",-45888.6388002502
"676",-80670.4443841783
"677",-20971.0722998319
"678",-104.114473330985
"679",-90.992891182646
"680",-104.114506897049
"681",-41301.1548612413
"682",-1203.31397955139
"683",-13074.4641293077
"684",-15968.7054013033
"685",-13778.6315819134
"686",-2285.90113895055
"687",-3308.39748057656
"688",-2762.12218406824
"689",2806.81785623989
"690",-34167.588123601
"691",-28842.8052303119
"692",-19267.4969286797
"693",-3596.4334286998
"694",162.140692191935
"695",-88.2853941882142
"696",-88.7012800637622
"697",126.123278157492
"698",-4063.97925864166
"699",-529.596539095381
"700",-573.143919296563
"701",-181.623855491045
"702",-108792.305254695
"703",-29178.7868107271
"704",-2251.19741637597
"705",963.621304840637
"706",1443.08607048348
"707",-90.029285990637
"708",537.207407784955
"709",-4915.36843309345
"710",-6371.40323387155
"711",-655.078105533322
"712",1162.31610462293
"713",-768.147022190398
"714",-445.110850238047
"715",1942.56993054552
"716",-522.535449097111
"717",-287.076075219152
"718",-67740.7180748501
"719",1041.78615692694
"720",14299.1515882092
"721",-995.98624130151
"722",-74.0675996934643
"723",-102.920892804252
"724",-49.1818317589495
"725",-88.2861424201546
"726",-88.7020859503021
"727",-70.7154997719782
"728",-88.7020121843637
"729",-88.7015696330265
"730",695.831995617206
"731",-88.7014425163147
"732",-66.9096466371884
"733",-102.920425159002
"734",-88.2852445367441
"735",-88.2851697137437
"736",-21655.4285283455
"737",-56.0778870047548
"738",-88.2846459355226
"739",-102.920088439902
"740",-59.8916949978088
"741",-88.7004761078695
"742",-52.9870727568435
"743",121.894007894339
"744",69.8822970809146
"745",-88.2843466147118
"746",-2738.05576098401
"747",-52329.1659260927
"748",-14748.2445938602
"749",-3359.74018686685
"750",-102.920256802783
"751",-88.7009187154741
"752",-39.4141958912762
"753",-39.4141958912762
"754",-102.920181951739
"755",-88.7007711141857
"756",-56.0778870047548
"757",-4184.5335776962
"758",-102.919938769774
"759",-6558.638943619
"760",-45869.9267173731
"761",-80668.9304651563
"762",-20969.5584497479
"763",-102.919882646953
"764",-88.2842717891906
"765",-102.919920086025
"766",-40976.105244401
"767",-1201.29552147454
"768",-13073.5642895869
"769",-15969.7146948408
"770",-13772.6862253957
"771",-2276.1081925989
"772",-2978.9566158285
"773",-2763.13145180616
"774",3310.62146859482
"775",-34169.6068121835
"776",-28274.1527908147
"777",-19275.9371173682
"778",-3597.44266676651
"779",200.400040540248
"780",-84.567574995784
"781",-85.040824440373
"782",159.41470732864
"783",-4027.0100184543
"784",-516.119624947617
"785",-572.722678279997
"786",-158.990076938085
"787",-108794.323840071
"788",-29048.4640145056
"789",-2247.16050877476
"790",1396.05384114049
"791",1681.93932158465
"792",-56.1439576215295
"793",648.485728398971
"794",-4797.21235489944
"795",-6290.42896727912
"796",-650.892326986194
"797",1427.95798112265
"798",-766.287990768384
"799",-437.396254868582
"800",2250.31750717248
"801",-517.621660466828
"802",-281.89001662869
"803",-67742.7078853773
"804",1240.21528202031
"805",16441.1805429048
"806",-993.967780645391
"807",-68.38870539831
"808",-101.221763076102
"809",-40.0704177486897
"810",-84.5684264321299
"811",-85.0417414836771
"812",-64.5742468669637
"813",-85.0416575431265
"814",-85.0411539502255
"815",807.703937541419
"816",-85.0410093001742
"817",-60.2434484722029
"818",-101.22123092806
"819",-84.5674047027318
"820",-84.5673195593176
"821",-21599.1158155717
"822",-47.9176530283992
"823",-84.5667235358246
"824",-101.220847764947
"825",-52.2575035032537
"826",-85.0399095940125
"827",-44.4005195738794
"828",154.602089442983
"829",95.4163495518454
"830",-84.5663829293847
"831",-2739.0649745925
"832",-52221.6836400365
"833",-14361.4518941628
"834",-3271.93768390596
"835",-101.221039350294
"836",-85.0404132509418
"837",-28.9555217613373
"838",-28.9555217613373
"839",-101.220954174968
"840",-85.040245290855
"841",-47.9176530283992
"842",-4186.55204191186
"843",-101.220677450662
"844",-6559.64819071601
"845",-45802.139310574
"846",-80669.9397445043
"847",-20970.5676831372
"848",-101.220613586763
"849",-84.5662977831019
"850",-101.220656189844
"851",-40762.5728928819
"852",-1202.80936503218
"853",-13081.9824653519
"854",-15968.2007545345
"855",-13777.8056802297
"856",-2270.3968161685
"857",-2735.82388393412
"858",-2761.61755019928
