"","SEQNO","ASSET","STRUC_TYPE","MDE_STRUCT","STRUC_DTAL","SW_CAT","PROP_NAME","ACCS_STRT","DEPARTMENT","SEDCONPMT","APPR_DATE","FINAL_DATE","TOTAL_DA","RCN","COMMENTS","POINT_X","POINT_Y","LAND_USE","UPDATE_BY","L_UPDATE","GISOBJID","SW_FILE","P_ST_ADD","MDE","MDN","EASEMENT","COVENANT","STATUS","INSP_REG","Acct","Type_Desc","lulc_70","lulc_40","lulc_30","lulc_20","year","site","lulc_unknown"
"32","338951.11",22399,"INFB","ITRN","RECHARGE TRENCH  R-34","UG","GREENWAY VILLAGE","Alley above Meadowmist","SWM-RESID-DEP",240346,"08/14/2013 12:00:00 AM +0000","06/17/2015 12:00:00 AM +0000",NA,NA,"Location moved to be on the trench, RW guidance",1243201.41158,569852.744076,21,"MT","12/29/2016 12:00:00 AM +0000",100011963,NA,"Alley above Meadowmist",NA,NA,NA,NA,"I","INSP-REG03","03683111","Infiltration Trench, Buried by Design",0,0,7.39358845003881,1203.84407182038,"2019","tr109",0
"33","338951.19",22400,"AQSW","XOGS","PT34","UG","GREENWAY VILLAGE","Sweetspire","SWM-RESID-DEP",240346,"08/14/2013 12:00:00 AM +0000","06/17/2015 12:00:00 AM +0000",NA,NA,NA,1243141.29982,569969.068319,21,"MT","12/29/2016 12:00:00 AM +0000",100011964,NA,"Sweetspire",NA,NA,NA,NA,"I","INSP-REG03","03683111","Aquaswirl",0,0,0,605.616243600845,"2019","tr109",0
"34","338951.04",22522,"AQSW","XOGS","PT29","UG","GREENWAY VILLAGE","Little Seneca @ Meadowmist","SWM-RESID-DEP",240346,"08/14/2013 12:00:00 AM +0000","06/17/2015 12:00:00 AM +0000",NA,NA,NA,1243586.06632,570093.823975,21,"MT","12/29/2016 12:00:00 AM +0000",100011965,NA,"Little Seneca @ Meadowmist",NA,NA,NA,NA,"I","INSP-REG03","03662596","Aquaswirl",33935.5045615667,0,3937.26037323289,187607.071890417,"2019","tr109",0
"35","338951.08",22398,"AQSW","XOGS","PT38","UG","GREENWAY VILLAGE","Little Seneca @ Meadowmist","SWM-RESID-DEP",240346,"08/14/2013 12:00:00 AM +0000","06/17/2015 12:00:00 AM +0000",NA,NA,NA,1243527.53986,569827.960989,21,"MT","12/29/2016 12:00:00 AM +0000",100011966,NA,"Little Seneca @ Meadowmist",NA,NA,NA,NA,"I","INSP-REG03","03694320","Aquaswirl",0,0,213.122644785559,9700.69060077332,"2019","tr109",0
"36","338951.32",22536,"INFB","ITRN","RECHARGE FACILITY R-30","UG","Arora Hills HOA","Alley behind Spicebush","SWM-RESID-DEP",240346,"08/14/2013 12:00:00 AM +0000","06/17/2015 12:00:00 AM +0000",NA,NA,NA,1242464.29921,569786.410548,21,"MT","12/29/2016 12:00:00 AM +0000",100011967,NA,"Alley behind Spicebush",NA,NA,NA,NA,"I","INSP-REG03","03682708","Infiltration Trench, Buried by Design",0.254589625488734,0,0,605.366586745717,"2019","tr109",0
"37","338951.26",22537,"AQSW","XOGS","PT14","UG","GREENWAY VILLAGE","Skylark @ Meadowmist","SWM-RESID-DEP",240346,"08/14/2013 12:00:00 AM +0000","06/17/2015 12:00:00 AM +0000",NA,NA,NA,1243642.87658,570803.968552,21,"MT","12/29/2016 12:00:00 AM +0000",100011968,NA,"Skylark @ Meadowmist",NA,NA,NA,NA,"I","INSP-REG03","03662596","Aquaswirl",593.548213298433,0,0,617.646674275282,"2019","tr109",0
"38","338951.28",22609,"INFB","ITRN","RECHARGE FACILITY R- 25","UG","GREENWAY VILLAGE","Alley behind Tulipstem","SWM-RESID-DEP",240346,"08/14/2013 12:00:00 AM +0000","06/17/2015 12:00:00 AM +0000",NA,NA,NA,1243450.33398,570732.178669,21,"MT","12/29/2016 12:00:00 AM +0000",100011969,NA,"Alley behind Tulipstem",NA,NA,NA,NA,"I","INSP-REG03","03575157","Infiltration Trench, Buried by Design",0,0,0,605.599502041005,"2019","tr109",0
"39","338951.02",22610,"SF","FSND","SAND FILTER # 11A","AG","GREENWAY VILLAGE","Little Seneca @ Meadowmist","SWM-RESID-DEP",240346,"08/14/2013 12:00:00 AM +0000","06/17/2015 12:00:00 AM +0000",NA,NA,NA,1243611.99967,570156.215582,21,"MT","12/29/2016 12:00:00 AM +0000",100011970,NA,"Little Seneca @ Meadowmist",NA,NA,NA,NA,"I","INSP-REG03","03662596","Sand filter",53407.2047492638,0,4022.23908837617,198847.262628559,"2019","tr109",0
"40","338951.15",22608,"UG","OTH","UGWQ # 11E","UG","GREENWAY VILLAGE","Heath Aster","SWM-RESID-DEP",240346,"08/14/2013 12:00:00 AM +0000","06/17/2015 12:00:00 AM +0000",NA,NA,NA,1243210.79936,570399.353875,21,"MT","12/29/2016 12:00:00 AM +0000",100011972,NA,"Heath Aster",NA,NA,NA,NA,"I","INSP-REG03","03616076","Underground detention",822.619501068024,0,29.4385270022904,4419.23318820633,"2019","tr109",0
"41","338951.12",22605,"UG","OTH","UGWQ # 11E","UG","GREENWAY VILLAGE","Alley behind Spicebush","SWM-RESID-DEP",240346,"08/14/2013 12:00:00 AM +0000","06/17/2015 12:00:00 AM +0000",NA,NA,NA,1242803.03442,569665.707049,41,"MT","12/29/2016 12:00:00 AM +0000",100011973,NA,"Alley behind Spicebush",NA,NA,NA,NA,"I","INSP-REG03","03682710","Underground detention",1642.84643395897,0,403.484715555882,64565.2057372655,"2019","tr109",0
"42","338951.20",22606,"UG","OTH","UGWQ #11L","UG","GREENWAY VILLAGE","Sweetspire","SWM-RESID-DEP",240346,"08/14/2013 12:00:00 AM +0000","06/17/2015 12:00:00 AM +0000",NA,NA,NA,1243136.30836,569945.804258,21,"MT","12/29/2016 12:00:00 AM +0000",100011974,NA,"Sweetspire",NA,NA,NA,NA,"I","INSP-REG03","03683111","Underground detention",0,0,0,35144.2887194576,"2019","tr109",0
"43","338951.30",22603,"INFB","ITRN","RECHARGE FACILITY R-26","UG","Arora Hills HOA","Alley behind Steeplebush","SWM-RESID-DEP",240346,"08/14/2013 12:00:00 AM +0000","06/17/2015 12:00:00 AM +0000",NA,NA,NA,1242982.66923,570224.026142,21,"MT","12/29/2016 12:00:00 AM +0000",100011975,NA,"Alley behind Steeplebush",NA,NA,NA,NA,"I","INSP-REG03","03616715","Infiltration Trench, Buried by Design",491.143415499479,0,253.591193478554,28509.9438178353,"2019","tr109",0
"44","338951.05",22229,"AQSW","XOGS","PT30","UG","GREENWAY VILLAGE","Little Seneca @ Meadowmist","SWM-RESID-DEP",240346,"08/14/2013 12:00:00 AM +0000","06/17/2015 12:00:00 AM +0000",NA,NA,NA,1243678.29711,570027.526207,21,"MT","12/29/2016 12:00:00 AM +0000",100011976,NA,"Little Seneca @ Meadowmist",NA,NA,NA,NA,"I","INSP-REG03","03662596","Aquaswirl",12874.0953232867,0,1810.91350189288,129291.591431025,"2019","tr109",0
"45","338951.24",22617,"STFIL","FUND","STORM FILTER 11N","UG","GREENWAY VILLAGE","Skylark @ Meadowmist","SWM-RESID-DEP",240346,"08/14/2013 12:00:00 AM +0000","06/17/2015 12:00:00 AM +0000",NA,NA,NA,1243767.1821,570795.548293,21,"MT","12/29/2016 12:00:00 AM +0000",100011977,NA,"Skylark @ Meadowmist",NA,NA,NA,NA,"I","INSP-REG03","03662596","Stormfilter",1207.74102910981,0,0,0,"2019","tr109",0
"46","338951.07",22232,"DS","ODSW","DRY SWALE","AG","GREENWAY VILLAGE","Little Seneca @ Meadowmist","SWM-RESID-DEP",240346,"08/14/2013 12:00:00 AM +0000","06/17/2015 12:00:00 AM +0000",NA,NA,NA,1243974.52125,569955.911521,21,"MT","12/29/2016 12:00:00 AM +0000",100011978,NA,"Little Seneca @ Meadowmist",NA,NA,NA,NA,"I","INSP-REG03","03662596","Dry Swale",11251.1758804645,11431.78786139,2072.03977258896,173355.391588395,"2019","tr109",0
"47","338951.10",22171,"STFIL","FUND","STORM FILTER 11D","UG","GREENWAY VILLAGE","Little Seneca @ Meadowmist","SWM-RESID-DEP",240346,"08/14/2013 12:00:00 AM +0000","06/17/2015 12:00:00 AM +0000",NA,NA,NA,1243515.25675,569788.833443,21,"MT","12/29/2016 12:00:00 AM +0000",100011979,NA,"Little Seneca @ Meadowmist",NA,NA,NA,NA,"I","INSP-REG03","03694320","Stormfilter",273.090368015692,0,0,332.530518870801,"2019","tr109",0
"48","338951.17",22172,"AQSW","XOGS","PT33","UG","GREENWAY VILLAGE","Heath Aster","SWM-RESID-DEP",240346,"08/14/2013 12:00:00 AM +0000","06/17/2015 12:00:00 AM +0000",NA,NA,NA,1243244.52337,570420.925027,21,"MT","12/29/2016 12:00:00 AM +0000",100011980,NA,"Heath Aster",NA,NA,NA,NA,"I","INSP-REG03","03616076","Aquaswirl",1199.89567512739,0,0,11.3162435751874,"2019","tr109",0
"49","338951.25",22169,"UG","OTH","UGWQ # 11G","UG","GREENWAY VILLAGE","Skylark @ Meadowmist","SWM-RESID-DEP",240346,"08/14/2013 12:00:00 AM +0000","06/17/2015 12:00:00 AM +0000",NA,NA,NA,1243657.80732,570758.482422,21,"MT","12/29/2016 12:00:00 AM +0000",100011981,NA,"Skylark @ Meadowmist",NA,NA,NA,NA,"I","INSP-REG03","03662596","Underground detention",97.657688168576,0,0,507.941040296108,"2019","tr109",0
"50","338951.27",22091,"STFIL","FUND","STORM FILTER 11G","UG","GREENWAY VILLAGE","Skylark @ Meadowmist","SWM-RESID-DEP",240346,"08/14/2013 12:00:00 AM +0000","06/17/2015 12:00:00 AM +0000",NA,NA,NA,1243655.07275,570673.28279,21,"MT","12/29/2016 12:00:00 AM +0000",100011982,NA,"Skylark @ Meadowmist",NA,NA,NA,NA,"I","INSP-REG03","03662596","Stormfilter",1101.99016153533,0,0,91.9946470831055,"2019","tr109",0
